raceId,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,date
18,14.0,,,3.7,,230,20.6,,1016.5,,1952-06-22
17,15.9,,,0.0,,127,10.3,,1015.9,,1952-05-30
13,18.1,,,0.0,,30,7.5,,1020.8,,1951-07-29
14,20.7,,,0.0,,351,3.7,,1017.5,,1951-09-16
19,22.4,,,4.1,,311,9.7,,1017.4,,1952-07-06
23,17.0,,,10.2,,344,5.7,,1006.2,,1952-09-07
24,22.5,,,0.0,,1,14.0,,1013.6,,1953-01-18
15,13.6,,,0.0,,270,8.6,,1017.1,,1951-10-28
3,20.2,,,4.4,,164,9.3,,1008.7,,1950-05-30
10,17.3,,,13.2,,206,7.6,,1016.9,,1951-06-17
2,20.2,,,0.0,,62,12.4,,1019.1,,1950-05-21
4,18.5,,,0.0,,63,4.0,,1022.6,,1950-06-04
8,11.2,,,18.0,,330,5.6,,1006.0,,1951-05-27
7,18.3,,,0.0,,12,5.8,,1012.5,,1950-09-03
6,19.9,,,0.0,,37,7.8,,1015.1,,1950-07-02
5,14.9,,,0.0,,249,9.6,,1016.2,,1950-06-18
11,14.5,,,0.0,,22,11.2,,1025.8,,1951-07-01
16,11.7,,,0.0,,48,6.7,,1017.6,,1952-05-18
12,13.8,,,0.2,,314,5.2,,1018.9,,1951-07-14
1,11.2,,,0.0,,49,17.8,,1022.4,,1950-05-13
9,19.1,,,0.0,,39,5.1,,1018.1,,1951-05-30
20,17.4,,,0.4,,277,15.5,,1020.2,,1952-07-19
26,11.7,,,0.0,,27,20.9,,1018.5,,1953-06-07
31,12.1,,,0.8,,233,5.3,,1021.2,,1953-08-23
39,11.9,,,33.7,,231,8.7,,1013.0,,1954-08-22
40,20.1,,,0.5,,337,4.2,,1016.7,,1954-09-05
35,20.1,,,2.2,,220,7.7,,1015.4,,1954-06-20
36,15.2,,,1.3,,234,18.5,,1006.0,,1954-07-04
42,27.5,,,0.0,,345,7.8,,1005.2,,1955-01-16
22,15.9,,,7.5,,354,15.6,,1011.7,,1952-08-17
25,25.8,,,0.0,,232,16.5,,1009.9,,1953-05-30
43,16.5,,,0.0,,235,8.4,,1018.3,,1955-05-22
49,27.0,,,2.2,,10,11.0,,1010.3,,1956-01-22
44,14.0,,,0.6,,329,16.1,,1015.0,,1955-05-30
45,12.9,,,0.0,,71,6.5,,1015.4,,1955-06-05
47,16.3,,,0.0,,325,6.3,,1023.7,,1955-07-16
51,24.8,,,6.7,,228,19.7,,1014.1,,1956-05-30
27,18.6,,,0.1,,159,6.9,,1014.6,,1953-06-21
28,18.0,,,0.0,,340,10.9,,1018.2,,1953-07-05
29,15.1,,,6.7,,242,16.7,,1010.1,,1953-07-18
32,17.3,,,0.0,,285,7.1,,1010.2,,1953-09-13
33,23.5,,,0.0,,64,14.4,,1011.2,,1954-01-17
41,17.1,,,0.0,,260,12.0,,1008.6,,1954-10-24
21,17.0,,,0.0,,233,14.8,,1013.6,,1952-08-03
37,14.2,,,12.1,,241,24.0,,997.0,,1954-07-17
34,23.0,,,0.7,,182,15.4,,1014.2,,1954-05-31
30,12.8,,,0.8,,300,7.0,,1016.1,,1953-08-02
38,11.8,,,1.2,,180,7.8,,1013.8,,1954-08-01
52,12.0,,,0.2,,244,13.0,,1019.4,,1956-06-03
53,17.9,,,3.4,,198,12.8,,1006.6,,1956-07-01
57,22.9,,,0.0,,157,17.4,,1014.2,,1957-01-13
58,16.2,,,1.4,,266,9.2,,1006.9,,1957-05-19
72,11.6,,,0.0,,273,9.2,,1024.8,,1958-08-03
82,24.5,,,0.0,,3,14.4,,1016.6,,1959-08-23
79,23.3,,,0.0,,123,9.0,,1017.2,,1959-07-05
80,17.3,,,3.7,,203,17.7,,1015.6,,1959-07-18
81,17.5,,,3.7,,278,12.4,,1010.1,,1959-08-02
83,18.3,,,0.0,,294,3.6,,1014.3,,1959-09-13
73,17.9,,,0.0,,253,6.8,,1017.3,,1958-08-24
84,19.8,,,1.0,,206,13.3,,1013.0,,1959-12-12
85,26.2,,,0.0,,324,16.0,,1012.7,,1960-02-07
86,18.5,,,5.2,,70,6.8,,1014.1,,1960-05-29
90,13.5,,,0.2,,349,9.9,,1016.2,,1960-07-03
88,17.1,,,4.3,,231,10.0,,1013.5,,1960-06-06
61,14.0,,,11.1,,268,11.3,,1001.1,,1957-07-20
59,19.8,,,1.3,,136,7.4,,1019.1,,1957-05-30
101,16.9,,,0.0,,31,3.9,,1018.7,,1961-09-10
107,14.4,,,2.7,,231,19.5,,1001.0,,1962-07-21
103,9.9,,,1.1,,248,28.7,,1010.8,,1962-05-20
91,14.8,,,0.1,,221,14.0,,1014.4,,1960-07-16
92,18.7,,,0.0,,305,8.0,,1015.9,,1960-08-14
123,17.7,,,0.0,,75,19.3,,1016.1,,1964-05-24
121,24.8,,,0.0,,84,15.4,,1009.7,,1963-12-28
122,18.1,,,0.1,,200,5.8,,1017.9,,1964-05-10
124,15.4,,,4.2,,240,14.8,,1012.2,,1964-06-14
137,16.4,,,0.0,,60,14.0,,1020.0,,1965-07-18
138,10.2,,,0.1,,265,9.9,,1011.6,,1965-08-01
128,14.3,,,10.9,,352,7.9,,1019.1,,1964-08-23
139,13.8,,,7.7,,350,4.5,,1013.2,,1965-09-12
140,8.7,,,0.1,,278,18.9,,1010.6,,1965-10-03
141,11.0,,,0.0,,26,8.7,,1022.5,,1965-10-24
142,17.8,,,0.0,,198,4.9,,1020.7,,1966-05-22
143,16.8,,,22.7,,259,6.6,,1017.4,,1966-06-12
129,18.5,,,8.8,,68,5.4,,1015.1,,1964-09-06
130,12.1,,,0.0,,254,15.6,,1010.7,,1964-10-04
133,15.0,,,0.7,,212,5.5,,1007.9,,1965-05-30
144,20.0,,,1.7,,146,7.4,,1013.7,,1966-07-03
131,14.5,,,0.0,,8,6.6,,1017.7,,1964-10-25
132,22.9,,,0.0,,210,17.6,,1008.0,,1965-01-01
145,14.5,,,3.6,,333,14.7,,1012.3,,1966-07-16
136,14.2,,,0.8,,242,15.6,,1016.6,,1965-07-10
156,15.8,,,0.2,,253,12.3,,1022.3,,1967-07-15
154,12.9,,,0.0,,15,12.2,,1020.9,,1967-06-18
152,13.9,,,0.0,,185,5.4,,1018.6,,1967-05-07
157,12.7,,,0.0,,63,7.1,,1023.7,,1967-08-06
153,14.3,,,0.4,,239,17.0,,1026.6,,1967-06-04
155,20.4,,,2.3,,355,9.7,,1016.3,,1967-07-02
159,14.9,,,0.6,,290,6.0,,1015.8,,1967-09-10
162,20.9,,,1.4,,47,8.9,,1015.0,,1968-01-01
163,12.1,,,0.0,,22,9.8,,1020.2,,1968-05-12
161,12.5,,,0.0,,3,6.8,,1020.5,,1967-10-22
168,15.4,,,0.1,,309,10.7,,1028.1,,1968-07-20
160,8.4,,,0.5,,293,10.3,,1019.4,,1967-10-01
164,17.7,,,0.1,,242,5.6,,1011.6,,1968-05-26
165,11.0,,,2.1,,354,15.6,,1020.6,,1968-06-09
166,15.1,,,3.1,,203,22.0,,1002.5,,1968-06-23
167,16.5,,,4.6,,139,9.7,,1013.6,,1968-07-07
169,14.3,,,34.5,,32,10.5,,1017.5,,1968-08-04
179,17.3,,,0.4,,233,22.5,,1022.2,,1969-07-19
180,17.6,,,0.0,,224,8.1,,1017.0,,1969-08-03
170,18.4,,,0.0,,342,4.0,,1018.6,,1968-09-08
172,6.4,,,2.2,,176,13.3,,1020.3,,1968-10-06
181,17.6,,,1.6,,20,5.1,,1018.2,,1969-09-07
178,17.8,,,0.8,,228,8.5,,1016.1,,1969-07-06
182,12.3,,,0.0,,126,11.0,,1030.5,,1969-09-20
186,13.3,,,0.0,,296,12.6,,1014.1,,1970-04-19
183,9.6,,,0.0,,168,8.8,,1026.7,,1969-10-05
184,16.6,,,0.0,,9,6.4,,1015.7,,1969-10-19
185,19.3,,,7.0,,73,9.6,,1015.3,,1970-03-07
188,17.7,,,0.3,,109,12.7,,1011.1,,1970-06-07
190,14.0,,,0.0,,23,8.5,,1024.5,,1970-07-05
187,12.7,,,20.2,,15,8.5,,1008.4,,1970-05-10
189,17.0,,,0.2,,273,9.1,,1024.1,,1970-06-21
193,18.2,,,0.6,,228,4.1,,1014.3,,1970-08-16
192,21.2,,,0.6,,29,6.7,,1017.8,,1970-08-02
191,17.5,,,0.0,,273,11.2,,1019.8,,1970-07-18
171,16.8,,,0.5,,305,11.2,,1021.6,,1968-09-22
173,15.2,,,0.0,,26,8.8,,1017.6,,1968-11-03
174,20.9,,,4.1,,323,7.7,,1014.1,,1969-03-01
175,15.0,,,2.3,,111,8.8,,1008.1,,1969-05-04
176,17.5,,,0.4,,191,7.4,,1012.0,,1969-05-18
177,14.2,,,1.2,,240,13.0,,1009.5,,1969-06-21
199,13.8,,,0.0,,213,7.8,,1020.3,,1971-04-18
210,18.4,,,5.7,,225,5.9,,1014.3,,1972-03-04
209,25.1,,,0.0,,33,10.8,,1011.2,,1972-01-23
212,11.7,,,7.8,,6,8.3,,1002.6,,1972-05-14
213,16.3,,,1.4,,191,15.2,,1009.7,,1972-06-04
217,22.1,,,0.0,,183,4.4,,1018.7,,1972-08-13
218,17.4,,,18.2,,75,7.8,,1008.9,,1972-09-10
219,15.1,,,4.6,,170,9.6,,1019.2,,1972-09-24
220,9.0,,,1.7,,284,14.6,,1000.6,,1972-10-08
221,22.8,,,0.0,,118,20.4,,1017.7,,1973-01-28
222,26.2,,,0.0,,319,16.9,,1010.1,,1973-02-11
223,20.5,,,8.4,,319,7.5,,1010.8,,1973-03-03
201,12.6,,,6.2,,228,20.7,,1010.7,,1971-06-20
203,13.3,,,0.0,,11,9.7,,1018.5,,1971-07-17
202,19.4,,,0.1,,272,7.2,,1012.3,,1971-07-04
224,15.1,,,0.0,,106,8.6,,1009.4,,1973-04-29
204,17.0,,,0.0,,40,5.7,,1015.5,,1971-08-01
206,19.7,,,0.0,,37,4.1,,1019.6,,1971-09-05
225,16.1,,,8.0,,199,10.8,,1003.1,,1973-05-20
205,21.7,,,0.0,,260,5.1,,1015.1,,1971-08-15
226,18.3,,,0.0,,139,4.8,,1016.6,,1973-06-03
227,14.4,,,0.0,,31,6.3,,1018.2,,1973-06-17
229,16.3,,,3.1,,159,10.5,,1004.9,,1973-07-14
228,21.6,,,0.0,,278,6.6,,1018.8,,1973-07-01
230,16.3,,,0.0,,2,21.4,,1021.9,,1973-07-29
231,15.4,,,0.0,,221,19.7,,1014.0,,1973-08-05
232,19.6,,,0.0,,243,4.9,,1018.6,,1973-08-19
233,21.2,,,0.0,,304,4.0,,1017.4,,1973-09-09
234,13.0,,,8.2,,318,8.5,,1016.9,,1973-09-23
235,11.6,,,1.7,,156,6.4,,1022.3,,1973-10-07
236,25.4,,,0.7,,288,19.8,,1003.1,,1974-01-13
237,22.9,,,2.3,,330,17.8,,1011.7,,1974-01-27
238,17.8,,,0.2,,87,16.4,,1020.4,,1974-03-30
239,8.7,,,7.1,,199,4.1,,999.9,,1974-04-28
240,12.6,,,0.0,,167,13.1,,1015.4,,1974-05-12
241,15.8,,,0.0,,91,5.9,,1018.5,,1974-05-26
246,17.2,,,11.6,,203,12.6,,1012.5,,1974-08-04
248,17.1,,,0.0,,75,4.2,,1014.8,,1974-09-08
247,22.8,,,0.0,,171,5.2,,1017.0,,1974-08-18
249,7.5,,,0.1,,318,14.7,,1019.4,,1974-09-22
242,10.4,,,0.0,,247,9.4,,1002.6,,1974-06-09
243,16.5,,,0.0,,18,16.3,,1013.5,,1974-06-23
253,18.2,,,6.1,,339,8.9,,1017.8,,1975-03-01
250,14.5,,,0.0,,212,11.5,,1022.8,,1974-10-06
252,24.4,,,2.4,,324,5.5,,1015.1,,1975-01-26
255,13.1,,,14.6,,46,14.1,,1009.6,,1975-05-11
256,11.8,,,0.2,,45,12.9,,1017.2,,1975-05-25
258,16.8,,,2.1,,21,28.3,,1022.8,,1975-06-22
257,17.2,,,0.0,,75,7.6,,1025.9,,1975-06-08
260,16.4,,,3.3,,221,12.3,,1014.3,,1975-07-19
261,19.6,,,0.0,,76,8.0,,1023.3,,1975-08-03
259,19.5,,,0.0,,144,8.4,,1011.6,,1975-07-06
251,21.6,,,4.4,,349,11.0,,1010.1,,1975-01-12
265,24.1,,,1.2,,332,13.8,,1007.0,,1976-01-25
254,15.8,,,0.0,,68,14.5,,1014.6,,1975-04-27
266,19.5,,,1.5,,29,9.3,,1014.4,,1976-03-06
267,14.5,,,0.0,,275,12.8,,1009.2,,1976-03-28
268,12.0,,,0.0,,6,5.6,,1015.8,,1976-05-02
269,14.3,,,0.0,,241,12.9,,1020.7,,1976-05-16
270,18.1,,,1.6,,160,5.0,,1017.0,,1976-05-30
271,13.5,,,6.5,,265,14.3,,1009.1,,1976-06-13
272,20.9,,,2.1,,292,5.5,,1017.0,,1976-07-04
273,18.4,,,0.0,,215,9.1,,1018.2,,1976-07-18
262,16.9,,,7.4,,258,5.2,,1013.4,,1975-08-17
263,18.0,,,14.2,,48,4.7,,1013.5,,1975-09-07
264,12.1,,,0.0,,178,12.0,,1025.4,,1975-10-05
274,10.0,,,2.4,,317,13.7,,1019.3,,1976-08-01
276,18.2,,,0.4,,125,13.1,,1012.8,,1976-08-29
275,13.9,,,8.7,,262,4.5,,1018.2,,1976-08-15
277,13.7,,,0.6,,8,4.6,,1018.1,,1976-09-12
287,12.7,,,4.7,,250,15.5,,1007.4,,1977-06-05
289,20.2,,,0.0,,48,5.7,,1016.0,,1977-07-03
244,14.1,,,0.0,,333,9.9,,1023.2,,1974-07-07
292,14.1,,,1.0,,321,4.8,,1015.7,,1977-08-14
298,23.4,,,0.0,,266,16.6,,1011.1,,1978-01-15
299,28.9,,,0.0,,65,8.2,,1014.1,,1978-01-29
301,14.0,,,0.4,,265,12.7,,1014.5,,1978-04-02
300,18.4,,,1.7,,359,5.8,,1014.4,,1978-03-04
297,13.0,,,0.0,,25,6.8,,1020.3,,1977-10-23
302,12.3,,,3.0,,163,3.7,,1006.8,,1978-05-07
304,19.3,,,0.0,,196,7.6,,1015.2,,1978-06-04
303,10.3,,,0.0,,307,6.9,,1013.6,,1978-05-21
305,12.2,,,0.0,,38,14.0,,1015.7,,1978-06-17
306,18.1,,,0.0,,315,4.7,,1017.0,,1978-07-02
307,14.7,,,0.0,,321,10.1,,1021.2,,1978-07-16
308,23.9,,,0.0,,81,7.6,,1014.5,,1978-07-30
309,12.6,,,8.4,,261,3.7,,1018.5,,1978-08-13
293,15.0,,,0.6,,17,17.2,,1020.1,,1977-08-28
310,14.1,,,1.0,,330,28.6,,1020.8,,1978-08-27
317,14.3,,,0.0,,225,9.0,,1015.3,,1979-04-08
314,24.5,,,0.0,,78,18.5,,1015.2,,1979-01-21
320,17.4,,,2.1,,108,6.9,,1015.4,,1979-05-27
318,9.5,,,0.0,,347,11.2,,1018.0,,1979-04-29
319,13.1,,,0.0,,11,5.0,,1032.4,,1979-05-13
330,21.1,,,9.2,,157,6.7,,1011.9,,1980-01-27
313,5.0,,,0.2,,287,19.8,,1012.2,,1978-10-08
331,19.6,,,0.0,,336,5.3,,1013.4,,1980-03-01
332,14.7,,,0.0,,221,8.0,,1012.7,,1980-03-30
339,15.4,,,2.2,,336,31.3,,1013.0,,1980-08-31
337,18.2,,,0.6,,360,4.6,,1018.5,,1980-08-10
336,13.3,,,8.8,,245,10.5,,1013.4,,1980-07-13
333,8.4,,,3.1,,55,16.7,,1011.2,,1980-05-04
342,6.8,,,0.0,,268,6.3,,1022.1,,1980-10-05
343,13.8,,,0.0,,291,8.0,,1019.6,,1981-03-15
341,8.2,,,0.0,,285,16.8,,1021.3,,1980-09-28
345,19.7,,,0.0,,143,8.7,,1016.0,,1981-04-12
344,23.9,,,8.7,,46,11.4,,1009.9,,1981-03-29
346,12.0,,,6.1,,40,11.7,,1003.9,,1981-05-03
347,12.1,,,4.3,,192,13.2,,1013.6,,1981-05-17
349,24.6,,,0.0,,46,6.8,,1013.1,,1981-06-21
350,15.9,,,0.0,,226,5.5,,1022.1,,1981-07-05
352,22.1,,,0.6,,351,6.2,,1018.0,,1981-08-02
351,12.9,,,1.0,,336,14.6,,1017.8,,1981-07-18
348,19.5,,,0.0,,63,9.2,,1018.3,,1981-05-31
353,20.3,,,0.1,,230,5.1,,1015.4,,1981-08-16
355,19.0,,,9.3,,86,4.4,,1016.5,,1981-09-13
354,15.4,,,0.0,,31,10.6,,1018.9,,1981-08-30
356,16.7,,,14.9,,188,17.1,,1007.9,,1981-09-27
334,12.5,,,5.9,,250,4.8,,1013.4,,1980-05-18
357,16.1,,,0.0,,347,7.6,,1019.5,,1981-10-17
358,19.1,,,0.8,,50,10.2,,1016.4,,1982-01-23
359,24.8,,,0.7,,126,6.4,,1014.0,,1982-03-21
360,13.8,,,0.0,,270,16.6,,1019.0,,1982-04-04
363,18.0,,,0.4,,236,11.4,,1012.7,,1982-05-23
361,9.5,,,0.0,,69,13.9,,1019.7,,1982-04-25
364,17.6,,,0.0,,12,19.0,,1016.7,,1982-06-06
365,15.3,,,3.6,,158,20.4,,1016.7,,1982-06-13
366,15.7,,,5.8,,314,16.5,,1007.1,,1982-07-03
362,9.4,,,3.6,,28,10.5,,1018.0,,1982-05-09
369,19.3,,,3.0,,319,4.9,,1016.7,,1982-08-08
371,14.9,,,0.0,,17,7.8,,1022.9,,1982-08-29
370,20.0,,,0.0,,213,5.3,,1018.4,,1982-08-15
338,17.2,,,0.6,,4,6.1,,1016.3,,1980-08-17
367,18.0,,,0.0,,59,7.7,,1027.7,,1982-07-18
373,28.7,,,0.0,,191,6.9,,1008.4,,1982-09-25
372,20.8,,,0.6,,17,4.3,,1022.2,,1982-09-12
377,17.0,,,0.0,,211,15.7,,1006.7,,1983-05-01
374,26.4,,,9.4,,186,8.5,,1012.7,,1983-03-13
376,11.6,,,1.1,,109,15.5,,1014.6,,1983-04-17
380,18.1,,,0.0,,266,13.2,,1009.3,,1983-06-05
375,13.5,,,0.1,,273,10.6,,1020.5,,1983-03-27
383,17.3,,,1.9,,27,6.6,,1019.8,,1983-08-07
379,9.4,,,0.7,,223,10.0,,1012.5,,1983-05-22
382,22.9,,,0.5,,191,5.5,,1013.8,,1983-07-16
