Product,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Release Year,Power Density,Vendor_3dfx,Vendor_AMD,Vendor_ATI,Vendor_Intel,Vendor_Matrox,Vendor_NVIDIA,Vendor_Sony,Vendor_VIA,Vendor_XGI,Foundry_Fujitsu,Foundry_GlobalFoundries,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Type_CPU,Type_GPU
AMD Athlon 1000,2000-06-05,180.0,54.0,120.0,37.0,1000.0,2000,0.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 1000,2000-10-31,180.0,54.0,120.0,37.0,1000.0,2000,0.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 1100,2000-08-14,180.0,60.0,120.0,37.0,1100.0,2000,0.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 1133,2000-10-31,180.0,63.0,120.0,37.0,1133.0,2000,0.525,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 1200,2000-10-31,180.0,66.0,120.0,37.0,1200.0,2000,0.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 1200,2000-10-17,180.0,66.0,120.0,37.0,1200.0,2000,0.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 600,2000-06-05,180.0,38.0,120.0,37.0,600.0,2000,0.31666666666666665,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 650,2000-06-05,180.0,38.0,120.0,37.0,650.0,2000,0.31666666666666665,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 700,2000-06-05,180.0,40.0,120.0,37.0,700.0,2000,0.3333333333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 750,2000-06-05,180.0,43.0,120.0,37.0,750.0,2000,0.35833333333333334,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 800,2000-06-05,180.0,45.0,120.0,37.0,800.0,2000,0.375,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 850,2000-06-05,180.0,47.0,120.0,37.0,850.0,2000,0.39166666666666666,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 900,2000-06-05,180.0,50.0,120.0,37.0,900.0,2000,0.4166666666666667,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
AMD Athlon 950,2000-06-05,180.0,52.0,120.0,37.0,950.0,2000,0.43333333333333335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
Intel Celeron 600,2013-09-01,180.0,30.0,129.0,950.0,600.0,2013,0.23255813953488372,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
Intel Celeron 667,2013-09-01,180.0,30.0,129.0,950.0,667.0,2013,0.23255813953488372,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Intel Pentium 4 1.4,2000-11-20,180.0,55.0,217.0,42.0,1400.0,2000,0.2534562211981567,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Intel Pentium 4 1.5,2000-11-20,180.0,58.0,217.0,42.0,1500.0,2000,0.2672811059907834,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Intel Pentium III 1133,2000-07-31,180.0,29.0,80.0,44.0,1133.0,2000,0.3625,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Intel Pentium III Xeon 1000 2.8V,2000-08-25,180.0,30.0,106.0,28.0,1000.0,2000,0.2830188679245283,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Intel Pentium III Xeon 1000 5V-12V,2000-08-25,180.0,31.0,106.0,28.0,1000.0,2000,0.29245283018867924,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
